Bulleen Boomers,Μπουλιν Μπουμερς,بولین بومرز
BCM Orli Prostejov,Μπι Σι Μι Ορλί Προστεζόβ,بی سی ام اورلی پروستجوو
Sluneta Usti nad Labem,Σλουνέτα Ουστί ναντ Λαμπέμ,اسلونتا استی ناد لابم
Maccabi Haifa,Μακκάμπι Χαΐφα,مکابی هیفا
Obradoiro CAB,Ομπραντοϊρο ΚΑΜ,ابرادویرو سی ای بی
Canterbury Rams,Κάντερμπερι Ραμς,کانتربری رمز
Kangoeroes Mechelen,Κάνγκοεροες Μετσελέν,کانگورئوس مکلن
Arkansas Little Rock Trojans,Άρκανσας Λιτ Ροκ Τρόιανς,آرکنساس لیتل راک تروجنز
Mississippi State Bulldogs,Μίσισιπι Στέιτ Ντογκιλς,میسیسیپی ستیٹ بادگلز
Norrkoping Dolphins,Νόρκοπινγκ Ντόλφινς,نورکوپینگ دولفینز
Manisa BBSK,Μανίσα ΜπΒΣΚ,مانیسا بیبیاسکی
Mackay Meteorettes,Μάκει Μετεόρετς,مکی متیوریتس
Panthers Schwenningen,Πάνθερς Σβένινγκεν,پانترز شونینگن
South West Metro Pirates,Νότιο δυτικό Μέτρο Πάιριτς,ساوت وست مترو پیریتس
Guinea,Γουινέα,گینه
Oregon Ducks,Όρεγκον Ducks,اورگن داکس
SC Corinthians Paulista,SC Κορινθίους Παούλιστα,اسسی کورینتینس پاؤلیستا
Bendigo Spirit,Μπέντιγκο Σπίρτ,بندیگو اسپیریت
Iowa State Cyclones,Ίουα Στέιτ Κάικλονς,ایوا استیت سایکلونز
Vermont Catamounts,Βέρμοντ Καταμάουντς,ورمونت کتامانتس
Yoast United,Γιόαστ Γιουνάιτεντ,یوست یونایتد
Arka Gdynia,Άρκα Γκντίνια,آرکا گدینیا
Fea Nf Nx,Φέα Νφ Νξ,فیا انف ان ایکس
Lee University Flames,Λι Γκιουνιβέρσιτι Φλέιμς,لی یونیورسیتی فلیمز
Ivory Coast,Ακτή Ελεφαντοστού,سیشل ایوری
Northwestern Wildcats,Νόρθουεστερν Γουίλκατς,نورت وسترن ویلکتس
Graffenstaden,Γκραφενσταντεν,گرافناستادن
BK Zabiny Brno,ΜπΚ Ζαμπίνι Μπρνο,بیکی زابینی برنو
San-En Neophoenix,Σαν-Εν Νεοφηξ,سن-ان نئوفینیکس
Point Loma Nazarene Sea Lions,Ποιντ Λόμα Ναζαρέν Σί Λιονς,پوینت لوما نازارین سی لیونز
CA Nacional Potosi,ΚΑ Νακιοναλ Ποτόσι,سیای اناکشنال پوتوسی
GS Ermis Sximatariou,ΓΣ Έρμις Σξιματάριου,جیاس ارمیس سیماتاریو
BK Liepaja,ΜπΚ Λιεπάγα,بیکی لیپایا
Iona Gaels,Ίονα Γκίλς,آیونا گیلز
Geraldton Buccaneers,Γκέραλντον Μπικέρντς,جرالدتون بوکسرز
Kk Posusje,Κκ Ποσούσιε,کارون کی پوسوشجه
Nadir Gold Istanbul Basket,Ναντίρ Γκολντ Ιστανούλ Μπασκέτ,نادیر گلد استانبول باسکت
Shanghai Sharks,Σάνγκηαι Σάρκς,شانگهای شارکز
Lithuania,Λιθουανία,لیتوانی
Bahcesehir Koleji,Μπαχεσέχιρ Κολέτζι,بهچه سههیر کولهجی
CD Colegio Los Leones,ΚΔ Κολέγιο Λος Λεόνες,سیدی کولهجیو لوس لئونز
Grand Canyon Antelopes,Γκραντ Κάνυον Άντελόπες,گرند کانیون انتلوپس
Yokohama B-Corsairs,Γιοκοχάμα Μπι-Κορσέιρς,یوکوهاما بی-کورسیرز
BC Oostende,Μπι Σι Οοστέντε,بیسی اوستنده
Sjuharads Basket,Σιουχαράντς Μπάσκετ,سوهاراد باسکت
Vanderbilt Commodores,Βάντερμπουρτ Κομμοντόρες,وندربیلت کامودورز
Leones de Ponce,Λεόνες ντε Πόντσε,لئونز ده پونسه
Cbc Valladolid,Σι Βι Σι Βαλαντόλιντ,سی بی سی والادولید
Hitachi High-Tech Cougars,Χιτάτσι Χάιγκ-Τεκ Κουγκάρς,هیتاچی هایث-تک کوگرز
Romania,Ρουμανία,رومانیا
Okk Novi Pazar,Όκκ Νόβι Παζάρ,اوک نووی پازار
Bears Academy,Μπέαρς Ακαδημία,بیرز اکادمی
Bankstown Bruins,Μπάνκσταουν Μπρουζ,بانکستاون بروینز
KTP Basket Kotka,ΚΤΠ Μπάσκετ Κότκα,کی تی پی بسکت کوتکا
Cherno More IG,Τσερνό Μόρε ΊΤΖΙ,چرنو موره ای جی
Libertadores de Queretaro,Λιμπερτάντορες ντε Κερετάρο,لیبرتادورز ده کورتارو
Newcastle Falcons,Νιουκάστλ Φάλκονς,نیوکاسل فالکینز
Atlanta Dream,Σι Βι Σι Βαλαντόλιντ,آتلانتا دریم
Kapfenberg Bulls,Χιτάτσι Χάιγκ-Τεκ Κουγκάρς,کاپفنبرگ بولز
CD Puente Alto,Ρουμανία,سی دی پوئنته آلتو
Turkiye,Όκκ Νόβι Παζάρ,ترکیه
Spain,Μπέαρς Ακαδημία,اسپانیا
Sweden,Μπάνκσταουν Μπρουζ,سوئد
Portugal,ΚΤΠ Μπάσκετ Κότκα,پرتغال
Ironi Ness Ziona,Τσερνό Μόρε ΊΤΖΙ,آیرونی نس زیونا
Club Ourense Baloncesto Sad,Λιμπερτάντορες ντε Κερετάρο,کلوب اورنسه بالونستو ساد
Pallacanestro Firenze,Νιουκάστλ Φάλκονς,پالاکانسترو فیرنزه
Sluc Nancy Basket,Σλουκ Νάνσι Μπάσκετ,سلوک نانسی بسکت
Cal State San Bernardino Coyotes,Καλ Στέιτ Σαν Μπέρναρντινο Κόγιους,کال ستیت سان برناردینو کویدز
Southern Methodist Mustangs,Νότια Μέθοδον Μάστανγκς,ساوترن مسدونگ ماستنگز
Wellington Saints,Γουέλινγκτον Σέιντς,ولینگتون سینتس
Central Oklahoma Bronchos,Κεντραλ Οκλαχόμα Μπρόντσος,سنترال اوکلاهوما برونچوز
Seydou Legacy Athletique Club,Σεϊντου Λέγακι Αθλητικού Κλαμπ,سیدو لگاسی اتلتیک کلاب
Kauhajoki Karhu Basket,Κάουχαζόκι Κάρχου Μπάσκετ,کاوهایوکی کارهو بسکت
Ilker Sehri Usak,Ιλκερ Σεχρί Ουσάκ,ایلکر سهری اوساک
Louisiana Tech Lady Techsters,Λουιζιάνα Τεκ Λέιδι Τεκστερς,لوئیزیانا تک لیدی تکسترز
Fordham Rams,Φόρνταμ Ραμς,فوردهام رامز
Neftyanik Omskaya Oblast,Νεφτιανικ Ομσκα Ομπλαστ,نفتیانیک اومسکایا اوبلاست
Piratas de La Guaira,Πειρατάς Ντε Λα Γκουάιρα,پیراتاس د لا گوئیرا
Ningbo Rockets,Νινγκμπο Ροκετς,نینگبو راکتس
Alvik BBK,Αλβικ ΜπΜΚ,الویک بی بی کی
Nassjo Basket,Νασσιο Μπασκετ,ناسجو باسکت
Seattle Storm,Σιατλ Στορμ,سیئول استورم
Sichuan Jinqiang Blue Whale,Σιτσουαν Τζινκιανγκ Μπλου Γουέιλ,سیچوان جینکیانگ بلو ویل
Guaiqueries De Margarita,Γκοαικουεριες Ντε Μαργκαρίτα,گوئیکوریس د مارگاریتا
BC Komarno,Μπι Κι Κομαρνο,بی سی کومارنو
Hapoel Rishon Letzion,Χαποελ Ρισόν Λετζιον,هاپوئل ریشون لتزیون
Kk FSV Rijeka,Κέ ΦΣΒ Ρίγκεα,کارولین فسو ریجکا
Bali United BC,Μπάλι Γιουνάιτεδ Μπι Σι,بالی یونایتد بیسی
Alcorn State Braves,Άλκορν Στέιτ Μπρέιβς,الکورن اسٹیٹ بریوز
Uganda,Ουγκάντα,اوگاندا
Zamboanga Valientes,Ζαμποάνγκα Βαλιέντες,زمبوانگا والینتس
Rostock Seawolves,Ρόστοκ Σιουόλβες,روسٹاک سیوولوز
BCM Gravelines Dunkerque,ΜπΙΣΕΜ Γκράβελινς Ντανκερκ,بیسیام گریولاینز دنکرک
Cleveland Charge,Κλίβελαντ Τσάρτζ,کلیولنڈ چارج
LG Sakers,ΛΤ Σέικερς,الجی سیکرز
Southern Tigers,Σάουθερν Τάιγερς,ساؤٹھرن ٹائگرز
Lebanon,Λεμπάνον,لبنان
Sfs Bcca Neufchateau,ΣΦΣ Μπκα Νευφστέο,سفس بکا نوفشاتو
Sportul Studentesc Bucuresti,Σπορτουλ Στουντεντεσκ Μπουκουρεστί,اسپورتول استودنتسک بوکورستی
Zlatorog Lasko,Ζλατορόγκ Λάσκο,زلاتوروگ لاسکو
Incheon Shinhan Bank S-Birds,Ίντσιον Σίνχαν Μπανκ Σ-Μπερντς,اینچون شینهان بانک اس-بیردز
ESB Villeneuve du00b4Ascq,ΕΣΜ Βιλενούβ ντ'Ασκ,ای اس بی ویلنوو د'اسک
Georgia,Γεωργία,گرجستان
Debreceni EAC,Ντεμπρετσένι ΕΑΚ,دبرچنی ای ای سی
Toyota Antelopes,Τοϊότα Αντελόπες,تویوتا انتلوپز
Hapoel Haifa BC,Χαπόελ Χάιφα Μπι Σι,هاپوئل هیفا بی سی
Guangdong Vermilion Birds,Γκουάνγκντονγκ Βερμίλιον Μπιρντς,گوآنگدونگ ورمیلیون بیردز
Cameroon,Καμερούν,کامرون
Newfoundland Rogues,Νιουφαουντλαντ Ρογκες,نیوفاندلند روگز
Ehime Orange Vikings,Εχίμε Οράντζ Βίκινγκς,اهیمه اورنج ویکینگز
Thailand,Ταϊλάνδη,تایلند
Kk Parnu,Κκ Πάρνου,کا پارنو
Capitanes Ciudad de Mexico,Καπιτάνες Σιουντα ντε Μεξικό,کاپیتانز سیوداد ده مکزیکو
Czech Republic,Τσεχία,جمهوری چک
Jordan,Ιορδανία,اردن
Haneda Vickies,Χανέντα Βίκις,هاندا ویکیز
JDA Dijon Basket,ΤζΙ Ντι Ντζον Μπάσκετ,جیدیای دیجون بسکت
Serbia,Σερβία,صربستان
Batang Pier,Μπατάνγκ Πιερ,باتنگ پیر
Princeton Tigers,Πρίνστον Τάιγζερς,پرینستون تایگرز
Bilbao Basket,Μπίλμπαο Μπάσκετ,بیلبائو بسکت
Penarol Mar Del Plata,Πενάρολ Μαρ Ντελ Πλάτα,پنارول مار دل پاتا
Troemso Storm,Τροέμσο Στορμ,ترومسو استورم
North Texas Mean Green,Νορθ Τένας Μιν Γκριν,نورت تکساس مین گرین
Chicago Bulls,Σικάγο Μπουλς,چیکاگو بولز
Vanoli Cremona,Βανόλι Κρεμόνα,وانولی کرمونا
Virtus Eirene Ragusa,Βίρτους Ειρήνη Ραγκούζα,ویرتوس ایرنه راگوزا
CD Castro,ΚΔ Κάστρο,سیدی کاسترو
Antranik,Αντράνικ,آنترانیک
Baloncesto Fuenlabrada,Μπαλονιστό Φουενλαμπράντα,بالونستو فوئنلابرادا
Bosnia & Herzegovina,Βοσνία & Ερζεγοβίνη,بوسنی و هرزگوین
Asa Jerusalem,Άσα Ιερουσαλήμ,آسا یروشلم
Aomori Wats,Άομορι Γουάτς,آوموری واتس
Fjolnir Reykjavik,Φιόλνιρ Ρεϊκιαβίκ,فیولنیر ریکیاویک
Vaqueros de Bayamon,Βακέρος ντε Μπαγιάμον,واکروس ده بایامون
CAB Madeira,ΚΑΜ Μαδέιρα,سیایبی مادیرا
MBA Moscow,ΜΒΑ Μόσχα,می بی ای مسکو
Virtus Kleb Ragusa,Βίρτους Κλεμπ Ραγκούσα,ویرتوس کلب راگوزا
Gornik Walbrzych,Γκόρνικ Βαλμπζιχ,گورنیک والبزیش
Florida Gulf Coast Eagles,Φλόριντα Γκαουλ Κορσ Ίλς,فلوریدا گلف کوست ایئلز
Nelson Giants,Νέλσον Γιαντς,نلسون گینتس
Sydney City Comets,Σίδνεϊ Σίτι Κόμετς,سیدنی سیتی کامتس
KK TFT Skopje,ΚΚ ΤΦΤ Σκόπιε,کی کی تی اف تی اسکوپجه
Gigantes de Guayana,Γκιγάντες ντε Γκουάγιανα,گیگانتس ده گویانا
Albania,Αλβανία,آلبانیا
MKS Pruszkow,ΜΚΣ Προυσκόβ,ام کی اس پروشکو
BC Goverla,ΒΚ Γκοβέρλα,بیسی گوورلا
Argentino Junin,Αργεντίνο Τζουνίν,آرژانتینو جونین
Maitland Mustangs,Μέιτλαντ Μάστανγκς,میتلند ماستانگز
Titanes del Distrito Nacional,Τιτάνες ντελ Ντιστρίτο Νασιόναλ,تیتانههای دیستریتو ناسیونال
ASD San Martino di Lupari,ΑΣΝ Σαν Μάρτινο ντι Λουπάρι,آسدی سان مارتینو دی لوپاری
Ullern BK 1,Ουλερν ΜπΚ 1,ال اولرن بیکی 1
Cerrado Basquete,Κερράντο Μπασκέτε,چرادو باسکته
BK Decin,ΜπΚ Δεκίν,بیکی دئچین
AL Riyadi Beirut,ΑΛ Ριγιάντι Μπέρουτ,آل ریادی بیروت
Benfica Lisboa,Μπενφίκα Λισσόβα,بنفیکا لیسبوا
Art Giants Dusseldorf,Άρτ Γιάντς Δούσελντοφ,آرت گینتس دوسلدورف
High Point Panthers,Χάι Ποιντ Πάνθερς,های پاینت پنتهارز
Balkan Botevgrad,Μπάλκαν Μποτεφγκραντ,بالکان بوتووگراد
Bambitious Nara,Μπαμπιζιούς Νάρα,بامبیشوس نارا
Drexel Dragons,Ντρέξελ Δράγκονς,درکسل دریگونز
Kk Split,ΚΚ Σπλίτ,کی کی اسپلیت
North Adelaide Rockets,Νορθ Αδελαΐδα Ροκετς,نورت آدلاید راکتس
PGE Turow Zgorzelec,ΠΓΕ Τούρου Ζγκόρζελτς,پیجیای توروو زگورزلچ
Saga Ballooners,Σάγκα Μπαλουνέρς,ساگا بالونرز
KD Ilirija,ΚΔ Ιλίρια,کیدی ایلیریجا
Virtus Imola,Βίρτους Ίμολα,ویرتوس ایمولا
Alma Academy Jeannois,Άλμα Ακαδημία Τζενουά,الما اکادمی جونو
CD Tinguiririca SF,ΚΔ Τινγκουιρίρικα Σέ Φέ,سی دی تینگویریریکا اس فی
Canada,Καναδάς,کانادا
Real Sebastiani Rieti,Ρεάλ Σεμπαστιάνι Ριέτι,رئال سبستیانی ریتی
Haukar,Χάουκαρ,هاوکار
Mladost Mrkonjic,Μλαντοστ Μρκονιτς,ملادوست مرکونجیچ
Singapore,Σιγκαπούρη,سنگاپور
EC Pinheiros SP,ΕΚ Πινείρος Σέ Πι,ای سی پینهیروس اس پی
Elan Chalon,Έλαν Τσαλόν,الان چالون
BC Jonava,ΒΚ Τζονάβα,بیسی جوناوا
Diamond Valley Eagles,Δαϊμόντ Βέλεϊ Έιγλς,دایموند والی ایگلز
Szolnoki Olaj Kk,Σζόλνοκι Ολαζ Κκ,سولونکی اولاج کیکی
Sao Jose dos Campos,Σάο Τζόζε ντος Κάμπος,سائو جوزه دوس کامپوس
Club Africain,Κλαμπ Αφρικάιν,کلاب افریقاین
Cleveland Cavaliers,Κλίβελαντ Καβάλιερς,کلیولند کاوالرز
Ringwood Hawks,Ρίνγκγουαχ Χόκς,رینگوود هاکس
Washington Mystics,Ουάσινγκτον Μύστικς,واشنگتن میستیکس
Cayirova Belediyesi,Καγιρόβα Μπελεντίγεσι,کاییرووا بلدیهسی
US Monastir,ΥΣ Μοναστήρ,آمریکا مونستیر
Team Deron,Τιμ Ντερον,تیم درون
Cankaya Universitesi,Κανκάγια Πανεπιστήμιο,جامعه کانکایا
Limburg United,Λίμπουργκ Γιουνάιτεντ,لیمبورگ یونایتد
Prawira Bandung,Πράουιρα Μπαντούνγκ,پراویرا باندونگ
NW Tasmania Thunder,ΝΤ Τασμάνσια Θάντερ,نوتومنیا تاندر
Tundja Yambol,Τουντζα Γιαμπολ,توندجا یامبول
Mandurah Magic,Μαντουρά Μάγικ,مندوراه مجیک
BC Vysocina,Μπι Σι Βισοτσίνα,بی سی ویسوچینا
Byblos,Μπίμπλος,بیبلوس
Den Helder Suns,Ντεν Χέλντερ Σανς,دن هلدر سانز
Apoel Nicosia,Άποελ Νίκοσια,آپوئل نیکوزیا
Spartak Subotica,Σπαρτάκ Σουμποτιτσά,اسپارتاک سوبوتیکا
Sacramento Kings,Σακραμέντο Κινγκς,ساکرامنتو کینگز
Eastern Suns,Ανατολικοί Ήλιοι,شرقی سانز
BC Enisey Krasnoyarsk,Μπί Ενισέϊ Κρασνογιάρσκ,بی سی انیسی کراسنویارسک
Basket SKT Ieper ,Μπάσκετ ΣΚΤ Ιέπερ,بسکت سکت ایپر
Bornova Belediye,Μπόρνοβα Μπελεντίε Μπάσκετ,بورنووا بلدیه
Gimle BK,Γκίμλε ΜπΚ,گیمله بی کی
Adelaide Lightning,Αδελαΐντ Λαίτνινγκ,آدلاید لایتنینگ
Saint-Amand Hainaut Basket,Σεν Αμαν Χαινό Μπάσκετ,سنت امند هینو بسکت
BK Budivelnik,ΜπΚ Μπουντιβέλνικ,بیکی بودیولنیک
Forssan Alku,Φορσσαν Άλκου,فورسان آلکو
East Stroudsburg Warriors,Αιστ Στράουντσμπουργ Γουάριορς,ایست ستراؤدسبورگ واریورز
Forestville Eagles,Φορεστβίλ Ίλις,فورستویل ایگلز
UMFN Njardvik,ΟΥΜΦΝ Νιαρντβικ,او ام اف انجاردویک
Petrarca Ubp Padova,Πετραρκα Ουμπι Παντοβα,پترارکا اوبی پادووا
Columbia Lions,Κολυμβία Λάιονς,کلمبیا لیونز
UMF Njardvik,ΟΥΜΤ Νιαρντβικ,او ام اف انجاردویک
Toledo Glass City,Τολέντο Γκλας Σίτι,تولدو گلاس کیتی
Karsiyaka Belediyespor,Καρσιγιάκα Μπελεντιγιέσπορ,کارسیاکا بلدیهاسپور
Ueb Cividale,Υεμ Κιβιντάλε,ویب چیویداله
Virtus Bologna,Βιρτούς Μπολόνια,ویرتوس بولونیا
Hapoel Tel-Aviv,Χαποέλ Τελ-Αβίβ,هاپوئل تل-آویو
City Oilers,Σίτι Ουίλερς,سیتی اویلرز
Jiangsu Dragons,Τζιάνγκσου Ντράγκονς,جیانگسو دراگونز
Iceland,Ισλανδία,آیسلند
Nef SK,Νεφ ΣΚ,نف اسکی
Cangrejeros de Santurce,Κανγκρεχεροσ ντε Σαντούρτσε,کانگرجروز ده سانتورسه
CD Espanol Osorno,ΣΔ Εσπανόλ Οσόρνο,سیدی اسپانیول اسورنو
Basquet Manresa,Μπασκετ Μανρέσα,باسکت مانرزا
Torpan Pojat,Τορπάν Ποϊάτ,تورپان پوجات
Ballarat Miners,Μπαλλαράτ Μίνερς,بالارات ماینرز
Giants Leverkusen,Γκιαντς Λεβέρκουζεν,جینتس لوروکزن
Brixia Basket,Μπρίξια Μπάσκετ,بریکسیا بسکت
Belfius Mons-Hainaut,Μπελφιους Μον-Χέινο,بلفیوس مونز-هینوت
Maryland Terrapins,Μέριλαντ Τεραπίνς,مریلند تراپینز
Rice Owls,Ράις Όουλς,رایس اولز
Gas Eunikos,Γκας Ευνικός,گاس اونیکوس
Fribourg Olympic,Φριμπουργκ Ολυμπιακός,فریبورگ اولیمپیک
Ukraine,Ουκρανία,اوکراین
Hume City Broncos,Χουμ Σίτι Μπρόνσους,هیوم سیتی برونزوز
Canberra Capitals,Κανβέρα Καπιτάλς,کنبرا کپیتالز
Mahram Tehran,Μαχράμ Τεχεράνη,مهرام تهران
UIC Flames,ΥΙΚ Φλέιμς,اوآیسی آی اینز
Buyuk Anadolu Spor,Μπουγιούκ Αναντόλου Σπορ,بیوک انادولو اسپور
CSKA Moscow,ΣΚΑ Μόσχα,سی اس کی ای مسکو
Hebraica Macabi,Χεμπράικα Μακαμπί,هبرایکا ماکابی
Carl A-Z Oruro,Καρλ Α-Ζ Ορούρο,کارل آ-ز اورورو
Eltham Wildcats,Ελθάμ Γουέλτς,التهام والکیتز
PTG Sokol Lancut,ΠΤΓ Σόκολ Λαντσούτ,پی تی جی سوکول لانچوت
Daegu Pegasus,Δαιγκου Πεγασους,داگو پگاسوس
Imortal BC,Ημορταλ Μπι Σι,ایمورتال بیسی
KK Vojvodina,ΚΚ Βοιβοδινα,کیکی وویوودینا
Eleftheroupoli,Ελευθερουπολη,الزوروپولی
Elizur Ramla,Ελιζουρ Ραμλα,الیزور رملا
Ogm Ormanspor,Ογκμ Ορμανσπορ,اوگم اورمانسپور
Corlu Belediyesi,Κορλου Μπελεδιεσε,کورلو بلدیهسی
Jilin Northeast Tigers,Τζιλιν Νορθιαστ Ταιγερς,جیلین نورتهات تایگرز
Flammes Carolo Basket,Φλαμμες Καρολο Μπασκετ,فلامس کارولو باسکت
Bursaspor II,Μπουρασπορ ΙΙ,بورساسپور دوم
Clemson Tigers,Κλέμσον Τάιγκερς,کلیمسون تایگرز
Team Fog Naestved,Ομάδα Νεαστβέντ,تیم فوگ ناستوید
La Union Formosa,Λα Ουνιόν Φορμόσα,لا یونیون فورموزا
Shanghai Baoshan Dahua Swordfish,Σανγκάη Μπαοσάν Νταχουά Σορδφίσκος,شانگهای باشان داهوا سوردفیش
Suduva Mantinga Marijampole,Σούντουβα Μάντινγκα Μαριγιαμπόλε,سودووا مانتینگا ماریامپول
SESI / Araraquara,ΣΕΣΙ / Αραρακούαρα,سیاسآی/آراراکوآرا
Zorg En Zekerheid Leiden,Ζοργκ Εν Ζεκερχαίντ Λείντεν,زورگ ان زکرهید
Universo Treviso Basket,Ουνιβέρσο Τρέβισο Μπάσκετ,اونیورسو ترویزو باسکت
Hills Hornets,Χιλς Χόρνετς,هیلز هورنتز
Karamursel Gsk,Καραμουρσέλ Γσκ,کارامورسل جیاسکی
Llaneros de Guarico,Λανέρος ντε Γκουάρικο,لانیروس د گواریکو
Kansas Jayhawks,Κάνσας Τζέιχουκς,کانزاس جیهوکس
Fenerbahce Istanbul,Φενερμπάτσε Ίστανμπουλ,فنرباخس استانبول
BC Bipa Odessa,Μπι Πα Οδέσσα,بی سی بیپا اودسا
Bendigo Braves,Μπέντιγκο Μπρέιβς,بندیگو بریوز
Newcastle Eagles,Νιουκάσλ Έιγκλς,نیوکاسل ایگلز
Kouvottaret,Κουβότταρετ,کوووتارت
Rhode Island Rams,Ρόουντ Άιλαντς Ραμς,رود آیلند رمز
Hogsbo Basket,Χογκσμπο Μπασκετ,هوگسبو بسکت
Stanford Cardinal,Στάνφορντ Καρντινάλ,استانفورد کاردینال
Padafand Raad Havaei Dezful,Πανταφαντ Ραντ Χαβαέι Ντεζφούλ,پادافند راد هوایی دزفول
Brisbane Capitals,Μπρίσμπιν Καπιτάλς,بریسبن کاپیتالز
Reggio Calabria,Ρέγκιο Καλαμπρία,رگیو کالابریا
Eneos Sunflowers,Ένεος Σανφλάουερς,انئوس سانفلاورز
Grises de Humacao,Γκρίζες Ντε Χουμακάο,گریس دهوماکاو
Lithuania,Λιθουανία,لیتوانیا
Haukar,Χάουκαρ,هاوکار
Medi Bayreuth,Μέντι Μπάιρευθ,مدی بایروت
Luiss Roma,Λουίς Ρόμα,لویس روما
Teramo A Spicchi,Τεράμο Α Σπίκι,ترامو ای اسپیچی
BC Samara,ΒΚ Σαμάρα,بیسی سامارا
Bowling Green Falcons,Μπόουλινγκ Γκριν Φάλκονς,بولینگ گرین فالکنز
Toronto Raptors,Τορόντο Ράπτορς,تورنتو رپتورز
Pakenham,Πακέναμ,پاکنهام
Electra Nsa,Ηλέκτρα Νσα,الکترا اناسای
Jackson State Tigers,Τζάκσον Στέιτ Τάιγερς,جکسون استیت تایگرز
Northside Wizards,Νορθσάιδ Γουίζαρντς,نورتساید ویزاردز
Asd Del Fes Avellino,Ασντ Ντελ Φες Αβελλίνο,آسد دل فس اولینو
Sheffield Sharks,Σέφιλντ Σαρκς,شفیلد شارکز
Barangay Ginebra,Μπαρανγκέι Γκινέμπα,بارانگای گینبرا
Club Bigua de Villa Biarritz,Κλουμπ Μπιγκουα ντε Βιλλα Μπιαρριτς,کلاب بیگوآ ویلا بیارتس
Staryi Lutsk-Universitet,Σταρι Λουτσκ-Υνιβερσιτετ,استاری لوتسک-یونیورسیت
Real Madrid,Ρεαλ Μαδριτ,رئال مادرید
Los Angeles Sparks,Λος Αντζελες Σπαρκς,لس آنجلس اسپارکس
Eastern Kentucky Colonels,Ιστερν Κεντάκι Κολόνελς,ایسترن کنتاکی کالونلز
San Sebastian Gipuzkoa BC,Σαν Σεσαστιάν Γκιπουζκοα Μπι Σι,سن سباستیان گیپوزکوا بیسی
College Park Skyhawks,Κολεγκ Παρκ Σκαιχοφς,کالج پارک سکایهوکس
Hungary,Ουγγαρία,مجارستان
KR Reykjavik,ΚΡ Ρεϊκιαβικ,کیآر ریکیاویک
IA Larre Borges,ΙΑ Λαρρε Μποργκες,آی ای لاره بورگز
KK Sutjeska Niksic,ΚΚ Σουτιέσκα Νίκσιτς,کی کی سوتجسکا نیکسیک
North Alabama Lions,Νόρθ Αλαμπάμα Λιονς,نورت آلاباما لیونز
Avtodor Saratov,Αφτόντορ Σαράτοφ,آوتودور ساراتوف
Manchester Giants,Μάντσεστερ Γκιαντς,منچستر گینتس
Basketbal Olomouc,Μπασκετμπολ Ολομουτς,باسکتبال اولومووچ
Zhejiang Guangsha Lions,Ζεχάνγκ Γκουάνγκσα Λιονς,ژیجانگ گونگشا لیونز
Keflavik,Κεφλάβικ,کفلاویک
CA San Lorenzo de Almagro,ΚΑ Σαν Λορέντσο ντε Αλμάγκρο,سی ای اسان لورنزو ده الماگرو
JS Kairouan,ΤζΕ Καϊρουάν,جی اس کیروان
Olimpia CSU Brasov,Ολιμπία ΚΣΥ Μπράσοβ,اولیمپیا سی یو براسوو
Willetton Tigers,Γουίλετον Τίγρης,ویلتون تایگرز
Shanxi Loongs,Σανξί Λοονγκς,شانشی لونگز
Basquet Girona,Μπασκέτ Γκιρόνα,بسکت گیرونا
Japan,Ιαπωνία,ژاپن
Saint-Chamond,Σεν Σαμόν,سن-شاموند
Baketball Polabi,Μπασκέτ Πολαμπί,بسکتبال پولابی
Kk Dynamic,Κκ Δυναμικ,کی کی دینامیک
Penn Quakers,Πεν Κουέικερς,پن قیکرز
DBB LZ OO,ΝτΜ ΛΖ ΟΟ,دی بی بی الز او او
Hebei,Χεμπέι,هبی
ACS Universitatea Cluj-Napoca,ΑΚΣ Ουνινιβερσιτάτε Κλουζ-Ναπόκα,آیسیاس یونیورسیتاته کلوج-ناپوکا
Ferris State Bulldogs,Φερρις Στέιτ Μπαδγουλς,فریس ستیت بودگلز
Brillantes de Maracaibo,Μπριλαντες ντε Μαρακαΐμπο,بریلانتس ده ماراکایبو
Vilnius Rytas-2,Βιλνιους Ρυτας-2,ویلنیوس ریتاس-۲
UC Irvine Anteaters,ΥΚ Ίριν Άντιτιτερς,یوسی ایروین انتیترز
Lakeside Lightning,Λέικσαιδ Λάιτενινγκ,لیکساید لایتنینگ
Surrey Scorchers,Σάρρεϋ Σκορτσερς,سوری سکرچرز
Providence Friars,Προβίδενς Φράιαρς,پروویدنس فرایرز
Kyiv-Basket,Κυιβ-Μπασκετ,کیوی-باکت
Warwick Senators,Γουόρικ Σενατόρς,وارویک سناتورز
Csm Focsani,Κεσμ Φοκσάνι,شیم فوکسانی
Svendborg Rabbits,Σβέντμποργκ Ράμπιτς,اسوندبورگ رابیتس
Rosa Radom,Ρόζα Ραντόμ,روزا رادوم
AB Castello,ΑΒ Καστέλο,ای بی کاستلو
Perry Lakes Hawks,Πέρρυ Λέικς Χόκς,پری لیکس هاکس
AIK Basket,ΑΙΚ Μπάσκετ,آی ایکی بسکت
Iran,Ιράν,ایران
Caxias Do Sul,Καξιάς Ντο Σουλ,کاکسیاس دو سول
Kocaeli Bsb,Κοτσάελι ΜπΣΜ,کوچالی بی اس بی
Dominican Republic,Δομινικανική Δημοκρατία,جمهوری دومینیکان
Cb Jairis,Σε Τζέιρις,چب جیریس
Indonesia Patriots,Ινδονησία Πατριώτες,ایندونزی پاتریوتس
