"Jaruskova, Timea",Τίμεα Τζαρούσκοβα,جاروسکووا، تیمه
Taylor J / Wehnelt K,Τέιλορ Τζ / Βένελτ Κ,تیلور جی / ونهلت کی
Ghafghazi Bak M / Yazdani A,Γκαφγζάκι Μπακ Μ / Γιάζντανι Α,قفغزی باک می / یزدانی ای
Graovac A / Pirtac B L,Γκράοβακ Α / Πιρτάκ Β Λ,گراوواک آ / پیرتاک بی ایل
"Gallegos, Alfredo","Γκαλέγκος, Αλφρέντο",گالیگوس، آلفردو
Junge-Ilges C / Junge-Ilges E,Τζουνγκε-Ιλγκες Κ / Τζουνγκε-Ιλγκες Ε,جونگه ایلگز سی / جونگه ایلگز ای
"Sonmez, Zeynep","Σονμέζ, Ζεϊνέπ",سونمز، زینپ
"Kazionova, Ekaterina","Καζιονόβα, Εκατερίνα",کازیونووا، اکاترینا
"Vaise, Tomas","Βάιζε, Τόμας",ویز، توماس
"Kreynes, Benjamin","Κρέινες, Μπενάμιν",کراینز، بنجامین
"Niemeier, Jule (Srl)","Νιμέιερ, Γιούλ (Σρλ)",نیمایر، یول (سرل)
"Moreno de Alboran, Nicolas","Μορένο ντε Αλμπόραν, Νικόλας",مورنو د آلبوران، نیکولاس
Lopez Morillo I / Pujol Navarro B,Λόπεζ Μόριλο Ι / Πουζόλ Ναβάρο Β,لوپز موریلو ای / پوخول نوارو بی
"Platenikova, Ela","Πλατενίκοβα, Έλα",پلاتنیکووا، ایلا
Canada,Καναδάς,کانادا
"Saito, Sara","Σάιτο, Σάρα",سایتو، سارا
Chirala S R / Kodat T,Τσιράλα Σ Ρ / Κοντάτ Τ,چیرالا اس آر / کودات تی
"Johnson, Sofia","Τζόνσον, Σοφία",جانسون، سوفیا
"Rakotomanga Rajaonah, Tiantsoa Sarah","Ρακοτομάνγκα Ραζαονάχ, Τιαντσόα Σαρά",راکوتومانگا راجاوناه، تیانتسوا سارا
Bassem Sobhy M / Zakaryia F,Μπασεμ Σομπή Μ / Ζακαρία Φ,باسم سبحی ام / زکریا فا
"Biberli, Utku Kerem","Μπίμπερλι, Ουτκου Κερέμ",بیبرلی، اوتکو کرم
"Lukas, Tena","Λουκάς, Τένα",لوکاس، تنا
Ly H N / Pham M T,Λι Χ Ν / Φαμ Μ Τ,لی اچ ان / فام ام تی
Aitkulov A / Trunov I,Αιτκουλόφ Α / Τρούνοφ Ι,آیتکولوف آ / ترونوف ای
"Tumasonis, Gabriel Pascotto","Τουμασόνις, Γκαμπριέλ Πασκότο",توماسونیس، گابریل پاسکوتو
"Pavlovic, Luka","Παυλόβιτς, Λουκά",پاولوویچ، لوکا
"Bandecchi, Susan","Μπαντεκχί, Σουζάν",باندکی، سوزان
"Walter, Nadja","Γουάλτερ, Νάντζα",والتر، نادجا
"Horiuchi, Ryusuke","Χοριούτσι, Ρυούσκε",هوریوچی، ریوسوکی
Lee Y-H / Li Y-Y,Λι Γι-Χ / Λι Γι-Γι,لی ی-ه / لی ی-ی
"Marin, Diego","Μαρίν, Ντιέγκο",مارین، دیگو
"Wong, Hong Kit","Γονγκ, Χονγκ Κιτ",وونگ، هانگ کیت
Lee P-C / Tsao C Y,Λι Πι-Σι / Τσάο Κι Γι,لی پی-سی / تساؤ چی یا
"Strauch, Vincent Jonah","Στράουτς, Βίνσεντ Τζόνα",استراوچ، وینسنت جونا
Misasi G / Rossi L,Μισάσι Γι / Ρόσσι Λι,میساسی گی / روسی لی
Bouzige M / Kawachi K,Μπουζίγκε Μι / Καγοχάκι Κι,بوزیگه م / کاواچی کی
"Tauson, Clara","Τάουσον, Κλάρα",تاوسون، کلارا
"Gutierrez, Oscar Jose","Γουτιέρης, Όσκαρ Τζόζε",گوتیرز، اسکار خوزه
"Gallizio, Giorgio","Γκαλιζιό, Γιόργιο",گالیزیو، جورجو
"Nagornaia, Sofiia","Ναγκόρναια, Σοφία",ناگورنایا، سوفیا
Couto Loureiro J V / Guillen Meza A,Κουτό Λουρέιρο Γι Β / Γκιλέν Μέζα Α,کوتو لوریرو جی وی / گیوین مزا
Bejlek S / Havlickova L,Μπέιλεκ Σ / Χαφλίτσοβα Λ,بجلک س / هاولیکووا ل
"Athreya, Dhananjay","Αθρέγια, Δανανάγια",اتریا، دانانجای
Cui J / Zhang Z,Κουί Τζ / Ζανγκ Ζ,کوئی جی / زانگ زی
Dessolis B / Dessolis M,Ντεσόλις Μπ / Ντεσόλις Μ,دسولیس بی / دسولیس ام
"Gvinepadze, Ana","Γκβινεπαντζέ, Άνα",گوینپادزه، آنا
"Bulitski, Aliaksandr","Μπουλίτσκι, Αλιακσάντρ",بولیتسکی، علیاکساندر
"Sheyngezikht, Leonid","Σεϊνγκεζίκτ, Λεονίδ",شینگزیکت، لئونید
Candiotto A / Ogescu S,Κάντιοττο Α / Όγκεσκο Σ,کاندیوتو ای / اوگسکو سی
Burenina E / Nevzorova E,Μπουρενίνα Ε / Νεβζόροβα Ε,بورنینا ای / نوزوروا ای
Chiesa E / de Stefano S,Τσιέσα Ε / ντε Στεφάνο Σ,چیئزا ای / د ستفانو سی
Bathrinath L / Madan T,Μπαθρινάθ Λ / Μαντάν Τ,باترینات ل / مادان تی
Emersic Potocnik G / Kovac T,Έμερσικ Ποτοτσίνικ Γ / Κόβακ Τ,امرسیک پوتوچنیک گی / کوواچ تی
Milenkovic K / Villet M,Μιλένκοβιτς Κ / Βιλετ Μ,میلنکوویچ کی / ویلت می
"Bondar, Anna","Μπόνταρ, Άννα",بوندار، آنا
Parentini Vallega Montebruno G / Tedesco G,Παρεντίνι Βαλεγκά Μοντεμπρούνο Γ / Τεντέσκο Γ,پارنتینی واللگا مونتبرونو گی / تدسکو گی
Giron M / Lestienne C,Γκίρον Μ / Λεστιέν Κ,گیرون می / لستین چی
"Varga-Toth, Oliver","Βαργκά-Τοτ, Όλιβερ",وارگا-توت، اولیور
"Qabazard, Essa","Καμπαζάρντ, Έσα",قابضارد، اسا
"Tuyisenge, Olive","Τουισέντζε, Όλιβε",تویسنگ، اولیو
"Beaupain, Simon","Μποπέν, Σιμόν",بوپن، سیمون
"Sood, Chandril","Σουντ, Τσαντρίλ",سود، چاندریل
"Sabalenka, Aryna","Σαμπαλένκα, Άρυνα",سابالنکا، آرینا
Giron M / Wolf J J,Γκιρόν Μ / Γουλφ ΤΤ,گیرون م / ولف جی جی
"Rahman, Azad","Ραχμάν, Άζαντ",رحمان، آزاد
"Wang, Tianmei","Γουάνγκ, Τιανμέι",وانگ، تیانمی
"Karatancheva, Lia","Καραταντσέβα, Λιά",کاراتانچوا، لیا
Granollers M / Zeballos H,Γκρανόλερς Μ / Ζεμπάλος Χ,گرانولرز م / زبالوس ه
"Rankin, Matthew","Ράνκιν, Μάτθους",رنکین، متثال
"Eysseric, Jonathan","Έισερικ, Τζονάθαν",آیسریک، جاناثان
Bakshi A / Lemstra K,Μπάκσι Α / Λέμστρα Κ,باکشی ا / لمسترا کی
"Bartashevich, Yaroslava","Μπαρτασέβιτς, Γιαροσλάβα",بارتاشویچ، یاروسلاوا
"Vazquez, Candela","Βαθκέσζ, Καντέλα",واسکز، کاندلا
"Kargina, Valerija Maija","Κάργινα, Βαλερία Μάια",کارگینا، والریجا مایا
"Shapatava, Sofia","Σαπατάβα, Σοφία",شاپاتاوا، سوفیا
Andreev A / Krutykh O,Αντρέεβ Α / Κρουτίκ Ο,آندریو ا / کروتیخ او
"Jimenez, Moses","Τζιμένεζ, Μωζέζ",جیمنز، موزز
"Lajovic, Dusan","Λαγιόβιτς, Δουσάν",لاجوویک، دوثان
"Nejedly, Pavel","Νεζέντλι, Παβέλ",نجدلی، پاول
Kudermetova V / Samsonova L,Κουντερμέτοβα Β / Σαμσόνοβα Λ,کودرمتووا و / سامسونووا ل
"Li, Ann","Λι, Άν",لی، آن
"Boixader Roca, Nil","Μποιξάντερ Ρόκα, Νιλ",بویکسادر روکا، نیل
"Marmousez, Lilian","Μαρμουζέζ, Λιλιάν",مارموز، لیلیان
Casanova H / Rodriguez Taverna S,Κασανόβα Χ / Ροδρίγκεζ Ταβέρνα Σ,کاسانووا اچ / رودریگز تاورنا اس
"Marti Pujolras, Alex","Μάρτι Πουζόλρας, Αλεξ",مارتی پوجولراس، آلکس
"Hosono, Dan","Χοσόνο, Δαν",هوسونو، دان
Hosoki Y / Hsu C-Y,Χοσόκι Γ / Χσου Τσι-Γι,هوسوکی ی / اچ اسیو-ی
"Chong, Eudice Wong","Τσόνγκ, Ευντίς Γουόνγ",چونگ، اودیس وونگ
"Baranovska, Alisa","Μπαρανόφσκα, Άλισα",بارانوفسکا، آلیسا
"Williford, Kelly","Γουίλιφορντ, Κέλλυ",ویلیفورد، کلی
Labbene Y / Ouakaa A,Λαμπένε Υ / Ουακάα Α,لابنه یو/واکا، آ
Anderson R / Mateas M,Άντερσον Ρ / Ματέας Μ,آندرسون آر/ماتیاس، م
Cacic N / Nedovyesov A,Κατσίκ Ν / Νεντόβιεσοφ Α,کاچیک ن/ندویسوف، آ
Faludi V N / Jackson N,Φαλούντι Β Ν / Τζάκσον Ν,فالودی و ان/جکسون، ن
Gavrila O / Rosca I L,Γκαβρίλα Ο / Ρόσκα Ι Λ,گاوریلا او/رسکا، ای ال
Bergkvist Larsson B / Hessleryd T,Μπεργκβιστ Λάρσον Β / Χέσλερυντ Τ,برگکویست لارسون ب/هسلرید ت
Dudun I / Michocki P,Ντουντούν Ι / Μιτσόκι Π,دودون ای/میکوکی، پ
Bobrov B / Mishkin K,Μπόμπροβ Β / Μισκίν Κ,بوبروف ب/میشکین، ک
"Vos, Matthew","Βος, Μάτθου",ووس، متئو
"Teszari, Christian","Τεσζάρι, Χριστιάν",تسزاری، کریستیان
Coria F / Etcheverry T M,Κόρια Φ / Έτσεβερρυ Τ Μ,کوریا اف / اتشووری تی ام
"Navone, Mariano","Ναβόνε, Μαριάνο",ناوونه، ماریانو
"Shumsky, Anthony","Σαμσκί, Άντονι",شومسکی، آنتونی
"Lin, Li Hsin","Λιν, Λι Χσιν",لین، لی حسین
Pozzi D / Weis A,Πότζι Ντ / Γουάις Α,پوزی دی / وایس ا
"Hanesova, Lucia","Χανεσόβα, Λουσία",هانسووا، لوشیا
"Muguruza, Garbine","Μουγκουρούζα, Γκαρμπίνε",موگوروزا، گاربینه
"Bronzetti, Lucia","Μπροντζέττι, Λουσία",برونزتی، لوشیا
"Regalado Macias, Fernanda Guadalupe","Ρεγκαλάντο Μακιάς, Φερνάντα Γκουανταλούπε",رگالادو ماکیاس، فرناندا گوادالوپه
"Saar, Katriin","Σαάρ, Κατριίν",سار، کاترین
"Filar, Karol","Φιλάρ, Καρολ",فیلار، کارول
"Bazilevskiy, Vladimir","Μπαζιλεφσκι, Βλαδίμιρ",بازیلوفسکی، ولادیمیر
Altuna T / Reymond A,Άλτουνα Τ / Ρεϊμόντ Α,التونا تی / ریموند ای
"Yamaguchi, Mei","Γιαμαγκούτσι, Μέι",یاماگوچی، مهی
Koyama K / Saito R,Κογιάμα Κ / Σάιτο Ρ,کویاما کی / سایتو ری
Hou Y / Wolfschmidt A,Χου Υ / Βολφσχίνττ Α,هو یو / ولفشیدت ای
"Maric, Marko","Μάρικ, Μάρκο",ماریک، مارکو
Agostini S / Cortegiani A,Αγκοστίνι Σ / Κορτεγιάνι Α,آگوستینی سی / کورتگیانی ای
Capot Requens A / Kovkin D,Καποτ Ρεκενς Α / Κοφκιν Ντ,کاپوت ریکنز ا / کووکین د
Che Y / Radojevic A,Τσε Υ / Ραντοϊεβιτς Α,چه ی / رادوجوویچ آ
"Gales, Taylor Marie","Γκέιλς, Τέιλορ Μαρι",گیلز، تیلور ماری
Guarachi Mathison A / Vergara Rivera A,Γκουαράτσι Ματίσον Α / Βεργάρα Ριβέρα Α,گوآراچی ماتیسون ا / ورگارا ریورا آ
"Tsion, Yana","Τσιόν, Γιάνα",تسیون، یانا
Southcombe M / Temirhanov A,Σάουθκομπ Μ / Τεμιρχάνοφ Α,ساوتکومب م / تمیرهانوف آ
"Seabury, Kristen","Σίμπουρι, Κρίστεν",سیبوری، کرستن
Diez S / Vrbensky M,Ντις Σ / Βρμπένσκι Μ,دیز س / وربنسکی م
"Droguet, Titouan","Ντρογκε, Τιτουάν",دروگوت، تیتوان
Vatutin A / Voisin E,Βατουτίν Α / Βοϊσίν Ε,واتوتین آ / ووآزین ا
Bueno G / Midon L,Μπουένο Γ / Μιντόν Λ,بوئنو جی / میدون لی
Gumulya B / Zhu A,Γκουμούλγια Μπ / Ζου Α,گومولیا بی / ژوآ
"Cervino Ruiz, Celia","Κερβίνο Ρουίζ, Κέλια",سروینو رویز، سلیا
Augusto Dos Santos R / Sakamoto P,Αυγούστο Ντος Σάντος Ρ / Σακαμότο Π,آوگوستو دوس سانتوس ری / ساکاموتو پی
"Mascenikova, Diana","Μασκενικόβα, Διάνα",ماسکنیکووا، دیانا
Oliveira G / Sultanov K,Ολιβέιρα Γ / Σουλτάνοφ Κ,اولیویرا جی / سولتانوو کی
"Lu, Jing-Jing","Λου, Τζίνγκ-Τζίνγκ",لو، جینگ-جینگ
"Cury Bueres, Matheus","Κούρι Μπουέρες, Μαθέους",کوری بوئرس، ماتهوس
"Garmendia, Jesu","Γκαρμέντια, Τζέσου",گارمندیا، جسو
"Pirtac, Beatrice Laura","Πιρτάκ, Μπεατρίς Λόρα",پیرتاک، بئتریس لورا
Crimmel Z / Stojanovic L,Κρίμελ Ζ / Στόχανοβιτς Λ,کریمل زی / استوجانوویچ لی
"Dapcevic, Emil","Ντάπτσεβιτς, Έμιλ",داپچوویچ، امیل
"Poullain, Lucas","Πουλλέιν, Λουκάς",پولین، لوکاس
"Pucinelli de Almeida, Matheus","Πουτσινέλι ντε Αλμέιντα, Μαθέους",پوچینلی ده المیدا، ماتوئوس
"Massara, Antonio","Μασάρα, Αντόνιο",ماسارا، آنتونیو
"Schoofs, Bibiane","Σοφσ, Μπιμπιάνε",شوفز، بیبیانه
Raggi A / Schmidt L,Ράγκι Α / Σμίτς Λ,راگی آ / شمیت لی
"Tavarez, Junior","Ταβάρεζ, Τζουνιόρ",تاوارز، جونیور
"Papadopoulos, Theodore","Παπαδόπουλος, Θεόδωρος",پاپادوپولوس، تودور
"Lys, Eva","Λυς, Εβά",لیس، اووا
"Avramenko, Dana Daniela","Αβραμένκο, Δάνα Δανιήλ",آورامنکو، دانا دانیلا
"Nuudi, Maileen","Νούντι, Μέιλιν",نوودی، میلین
"Andreeva, Mirra","Ανδρέεβα, Μίρρα",آندریووا، میرا
Spigarelli M / Zantedeschi A,Σπιγκαρέλλι Μ / Ζαντεντεσκί Α,اسپیگارلی ام / زانتدسکی ا
Kung L / Marinkovic B,Κουνγ Λ / Μαρινκόβιτς Β,کونگ ال / مارینکوویچ ب
PoPa M S / Sezer M,ΠοΠα Μ Σ / Σεζερ Μ,پوپا ام اس / سزر م
"Gadecki, Olivia","Γκάντεσκι, Όλιβια",گادکی، اولیویا
Arneodo R / Weissborn T-S,Αρνεόντο Ρ / Βαϊσμπόρν Τ-Σ,آرنودو ر / ویسبورن تی اس
"Burstein, Maria Victoria","Μπουρστάιν, Μαρία Βικτωρία",بوراستاین، ماریا ویکتوریا
Daciek P / Vega L,Ντατσιέκ Π / Βέγκα Λ,داسیک پی / وگا ل
Butvilas E / Ferrari G,Μπουτβίλας Ε / Φεράρι Γ,کوراس اباسولو تی / شیاوتی پی
Chiesa E / Petretic L,Τσιέζα Ε / Πετρετίκ Λ,گائو، اکسین
Arango E / Herazo Gonzalez M F,Αράνγκο Ε / Εραζο Γκονζάλεζ Μ Φ,بوریو اسکوریهوئلا، ایرن
Caldes J / Francisco L,Κάλντες Τζ / Φρανσίσκο Λ,نگریتو، کریستوف
"Fonseca, Joao","Φονσέκα, Τζοάο",نستروف پی / شاریپوف م
"Cooper Kirby, Dean","Κόπερ Κίρμπι, Ντιν",راجموهان، نیدهیترا
"Pattinama Kerkhove, Lesley","Παττινάμα Κερκοβε, Λέσλεϊ",لیم، اونجی
"Iaconi, Jerome","Ιακόνι, Τζερόμ",بیتون کوزمین سی / مککورمیک تی
"Dzjachangirov, Michelle","Τζατσάνγκιροφ, Μισέλ",کوریک، بورنا
"Lofman, Aleksi","Λόφμαν, Αλεξί",بلانچ یو / کیرکوف وی
Curras Abasolo T / Schiavetti P,Κουρράς Αμπασόλο Τ / Σκιάβετι Π,یودنکو، یولیا
"Gao, Xin","Γκάο, Ξιν",پیرو سرانو، آلوارو
"Burillo Escorihuela, Irene","Μπουρίγιο Εσκοριχούελα, Ίρενε",زارمبا، مارتینا
"Negritu, Christoph","Νεγκρίτου, Χριστόφ",خورخه، ماتیلد
Nesterov P / Sharipov M,Νεστερόφ Π / Σαρίποφ Μ,میسکوویچ، دورا
"Rajmohan, Nidhitra","Ρατζμοχάν, Νιντίτρα",جانسون، استیو
"Lim, Eunji","Λιμ, Ευντζί",دیالو گی / ووکیچ آ
Bittoun Kouzmine C / Mccormick T,Μπιτούν Κουζμίνε Κ / Μακκόρμικ Τ,پاسکاؤسکاس، کریستینا
"Coric, Borna","Κόριτς, Μπόρνα",میهیل دی ام / ورنت سی
Blanch U / Kirkov V,Μπλαντ Ου / Κίρκοφ Β,ناکانیشی، سیایا
"Iudenko, Iuliia","Ιουντένκο, Ιουλία",رودیونوف، یوریج
"Peiro Serrano, Alvaro","Πέιρο Σερράνο, Άλβαρο",ایدریزوویچ ف / پوپا ام اس
"Zaremba, Martyna","Ζαρέμπα, Μαρτίνα",جیرتس ام / تراواگلیا اس
"Jorge, Matilde","Χόρτζε, Ματίλντε",روسینی، تیزیانا
"Miskovic, Dora","Μίσκοβιτς, Δώρα",دوماس تی / ماریک ام
"Johnson, Steve","Τζόνσον, Στιβ",اولیویرا ف / تاریو پونته ا
Diallo G / Vukic A,Ντιάλο Γ / Βουκίτς Α,هونتاما ام / توبلو ا
"Paskauskas, Kristina","Πάσκαουσκάς, Κριστίνα",فرناندز، لیلاه انی (اس آر ال)
Mihail D M / Vernet C,Μιχαήλ Δ Μ / Βερνέ Κ,اوتیمووا، دیا
"Nakanishi, Seiya","Νακανίσι, Σείγια",کلیمچوک، یانا
"Rodionov, Jurij","Ροδιόνοβ, Γιούρι",دومیترو، استفان ادوارد
Idrizovic F / PoPa M S,Ίντριζόβιτς Φ / Πόπα Μ Σ,کوبایاشی اچ / نایار اس
Geerts M / Travaglia S,Γκέρτς Μ / Τραβαγκλιά Σ,الده، امیلی
"Rossini, Tiziana","Ροσσίνι, Τιτσιάνα",راگوس اس ای / یاکیمووا آ
Dumas T / Maric M,Ντουμάς Τ / Μάρικ Μ,کانوو کی / لابوتکووا آ
Oliveira F / Tarrio Ponte A,Ολιβέιρα Φ / Τάριο Πόντε Α,پیتری، بنجامین
Hontama M / Tubello A,Χοντάμα Μ / Τουμπέλλο Α,ووکیک، آلکساندر
"Fernandez, Leylah Annie (Srl)","Φερνάντεζ, Λεϊλά Άνι (Σρλ)",این-البون ی / جانی آر ال
"Evtimova, Dia","Εύτιμοβα, Διά",فرارا، ویرجینیا
"Klimchuk, Yana","Κλιμτσούκ, Γιάνα",کالزی آر / سولتانوو کی
"Dumitru, Stefan Eduard","Ντουμίτρου, Στέφαν Εδουάρδου",کاپورو تابوردا م / لابرانا ف
Kobayashi H / Nayar S,Κομπαγιάσι Χ / Ναγιάρ Σ,گنگل م / نوزا پی
"Elde, Emilie","Έλντε, Εμίλι",هندل، تیم
Ragus S I / Yakimova A,Ράγκους Σ Ι / Γιακιμόβα Α,هرینگ، کاتارینا
Kanev K / Laboutkova A,Κανέβ Κ / Λαμπουτκόβα Α,روسول، لوکاس
"Pietri, Benjamin","Πιετρί, Μπενζαμίν",دومینکو اس / رولا بی
"Vukic, Aleksandar","Βουκίτς, Αλεξανδράρ",مونار، جاوم
In-Albon Y / Jani R L,Ίν-Άλμπον Υ / Τζάνι Ρ Λ,برادی پی / وندلکن هارولد
"Ferrara, Virginia","Φεράρα, Βιρτζίνια",هندرسون، راسل
Calzi R / Sultanov K,Καλζί Ρ / Σουλτάνοφ Κ,کوبلر جی / پیرز جی
Capurro Taborda M / Labrana F,Καπούρο Ταμπόρντα Μ / Λαμπράνα Φ,چیدخ چ / کوئلوو ف
Gengel M / Nouza P,Γκένγκελ Μ / Νουζα Π,یورداشه، آلکساندرا
"Handel, Tim","Χάντελ, Τιμ",کولمان ده فریتاس، انزو
"Hering, Katharina","Χέρινγκ, Καταρίνα",روشا، هنریکه
"Rosol, Lukas","Ρόσολ, Λουκάς",پروتیک زاکلج، جاکا
Dominko S / Rola B,Ντομίνκο Σ / Ρόλα Μπ,کامیلری ل / دگلوو تی
"Munar, Jaume","Μουνάρ, Τζάουμε",دورست جی / پاپاداکیس لی
Brady P / Wendelken H,Μπράντυ Π / Γουέντελκεν Χ,کالاماریس جی / سیسوئووا می
"Henderson, Russell","Χέντερσον, Ράσελ",استونز لی / واگنر آ
Kubler J / Peers J,Κούμπλερ Τζ / Πιέρς Τζ,بان، اوان کارلو
Chidekh C / Coelho F,Χιντεκ Κ / Κοέλο Φ,ولاسکز، خوان داوید
"Iordache, Alexandra","Ιορντάκε, Αλεξάνδρα",آن ای / برنالز جی
"Kohlmann de Freitas, Enzo","Κολμάν ντε Φρειτάς, Ένζο",آریفولینا ای / چارینتسوا دی
"Rocha, Henrique","Ρόχα, Ενρίκε",پاچکو مندز، رودریگو
"Protic Zakelj, Jaka","Πρότικ Ζακελί, Τζάκα",ماتوسویچ، آنتون
Cammilleri L / Degelow T,Καμιλλερί Λ / Ντεγκελό Τ,پانو، کیرانپال
Duerst J / Papadakis L,Ντουέρστ Τζ / Παπαδάκης Λ,خوان مانو، آلخاندرو
Kalamaris G / Sysoeva M,Καλαμάρις Γ / Συσοέβα Μ,فیرکلاف ایل / گادکسکی او
Stevens L / Wagner A,Στέβενς Λ / Βάγκνερ Α,درنیکوویچ، ریا
"Ban, Ivan Karlo","Μπάν, Ιβάν Κάρλο",ویدنمان، لوکا
"Velasquez, Juan David","Βελασκέζ, Χουάν Νταβίδ",رحیمی، فرشاد
Ahn A / Bernales J,Άν Α / Μπερνάλες Τζ,شیمانوویچ ای / یاشینا ای
Arifullina A / Charintceva D,Άριφουλινα Α / Τσαριντσέβα Δ,رادیسیک نی / وورت تی
"Pacheco Mendez, Rodrigo","Πατσέκο Μέντεζ, Ροδρίγκο",فرح ری / ملو ام
"Matusevich, Anton","Ματουσέβιτς, Αντόν",گلاتچ، آلکسا
"Pannu, Kiranpal","Πάνου, Κιρανπάλ",وارگووا، نینا
"Juan Mano, Alejandro","Χουάν Μάνο, Αλεξάντρο",چیلیچ، مارین (اس آر ال)
Fairclough L / Gadecki O,Φέιρκλου Λ / Γκαντέτσκι Ο,رویز، امیلس لوخان
"Dernikovic, Ria","Ντερνικόβιτς, Ριά",آروتیونیان ای / لوماکین گی
"Wiedenmann, Luca","Βιενεμάν, Λουκά",کوپر او / دیویس فی
"Rahimi, Farshad","Ραχίμι, Φαρσάντ",گرا، باتیسته
Shymanovich I / Yashina E,Σιμανοβιτς Ι / Γιασίνα Ε,جازیری M / زید M S
Radisic N / Wurth T,Ραντίσικ Ν / Βουρτ Τ,وارد، امت
Farah R / Melo M,Φαρά Ρ / Μέλο Μ,آلوارز، آلکس
"Glatch, Alexa","Γκλατς, Αλέξα",آندرئسکو، استفان آدریان
"Vargova, Nina","Βαργκόβα, Νίνα",سوسانتو A / سوسانتو D A
"Cilic, Marin (Srl)","Τσίλικ, Μαρίν (Σρλ)",سامسون، آرون پل
"Ruiz, Emilse Lujan","Ρουίζ, Έμιλσε Λουζάν",سامارزیک S / استوجانوویچ L
Arutiunian E / Lomakin G,Αρουτιούνιαν Ε / Λομακίν Γ,کوپفر، دومینیک
Cooper O / Davies F,Κούπερ Ο / Δέιβις Φ,آندرئسکو، بیانکا
"Guerra, Batiste","Γκερά, Μπατίστε",اوز، ایپک
Jaziri M / Zayid M S,Τζαζίρι Μ / Ζαγιδ Μ Σ,چانگ اچ / سانچز پالائو ای اس
"Ward, Emmett","Γουάρντ, Έμμετ",برانکاچیو، رائول
"Alvarez, Alex","Αλβαρέζο, Αλεξ",کمپن م / مینن گ
"Andreescu, Stefan Adrian","Αντρεσκού, Στεφάν Αδριαν",مایرز، موران
Susanto A / Susanto D A,Σουσάντο Α / Σουσάντο Ντ Α,ریندرکنچ، آرتور (سرل)
"Samson, Aron Paul","Σάμσον, Άρον Πουλ",سون، توبیاس
Samardzic S / Stojanovic L,Σαμαρτζίκ Σ / Στοϊανοβιτς Λ,ناف کی / ویکمایر ی
"Koepfer, Dominik","Κεόπφερ, Δομίνικ",سیبالد، هیلی
"Andreescu, Bianca","Αντρεσκού, Μπιάνκα",هابگارسکی کی / زبالوس ملگار ن
"Oz, Ipek","Όζ, Ίπεκ",کاسو، آلفردو
Chang H / Sanchez Palau A S,Τσανγκ Χ / Σάντσεζ Παλάου Α Ες,کوراموچی، میهو
"Brancaccio, Raul","Μπραντάκιο, Ράουλ",کودزووا، کلارا
Kempen M / Minnen G,Κέμπεν Μ / Μίννεν Γ,والز ابریل، آرناو
"Meyers, Morane","Μάιερς, Μοράν",کاواگوچی نی / لی پی-سی
"Rinderknech, Arthur (Srl)","Ριντερκνέχ, Άρθουρ (Εσ.Ρ.Λ.)",لی، یا-حسوان
"Sonne, Tobias","Σόννε, Τόμας",روخاس پدرون، گیلرمو
Naef C / Wickmayer Y,Ναεφ Κ / Γουίκμαγιερ Γι,آکینبیی، نیفمی
"Sibbald, Hayley","Σίμπαλντ, Χέιλεϊ",آنی جی / چانگ های
Hobgarski K / Zeballos Melgar N,Χόμπγκαρσκι Κ / Ζεμπάλος Μελγκάρ Ν,دتیوک آ / کولودزیجووا می
"Casso, Alfredo","Κάσσο, Αλφρέντο",شیخ، محمد افتخار
"Kuramochi, Miho","Κουραμότσι, Μίχο",کوبکا ام / کولامبایوا زی
"Kodesova, Klara","Κόντεσόβα, Κλάρα",مارچ ای سی / پرز بی
"Valls Abril, Arnau","Βάλς Άμπριλ, Άρναου",روگری، جنیفر
Kawaguchi N / Lee P-C,Καβαγούτσι Ν / Λι Πι-Τσι,ماتسودا ام / یامازاکی ای
"Lee, Ya-Hsuan","Λι, Για-Χουάν",سلطانووا، دیلارا
"Rojas Pedron, Guillermo","Ρόχας Πεντρόν, Γκιλερμό",گوپتا، واشو
"Akinbiyi, Nifemi","Ακινμπίγι, Νιφέμι",کیچنوک نی / زیمرمن کارل
Aney J / Chang H,Άνεϊ Τζι / Τσάνγκ Χου,بائز، سباستیان
Detiuc A / Kolodziejova M,Ντετιούκ Α / Κολοντζιέβα Μ,چونگ ای دبلیو / تیخونووا ای
"Sheikh, Mohammed Iftikhar","Σειχ, Μοχαμμάντ Ιφτικάρ",کالاشنیکوفا او / پیتر کی
Kubka M / Kulambayeva Z,Κούμπκα Μ / Κουλαμπαγιέβα Ζ,مو، تائو
March A C / Perez B,Μάρτς Α Κ / Πέρεζ Β,کناف آ / رودش کی
"Ruggeri, Jennifer","Ρουγκέρι, Τζένιφερ",مارتینز مارتینز، خورخه
Matsuda M / Yamazaki I,Ματσούντα Μ / Γιαμαζάκι Ι,اولیور سانچز م / پانتلیک سی
"Sultanova, Dilara","Σουλτάνοβα, Διλάρα",فالکنبرگ، گیل
"Gupta, Vashu","Γκούπτα, Βάσου",برنگل، مدیسون (سرل)
Kichenok N / Zimmermann K,Κιτσενόκ Ν / Ζίμερμαν Κ,پارک، سوهیون
"Baez, Sebastian","Μπαέζ, Σεβαστιάν",آهتی، وسا
Chong E W / Tikhonova A,Τσόνγκ Ε Γου / Τιχονόβα Α,چیلاکالاپودی اس اس / ویلیام تی
Kalashnikova O / Piter K,Καλασνικόβα Ο / Πίτερ Κ,ییپ، وانلی
